,Cooling System 1 Flow,Fuel System 2  Injector Flow,Cooling System 2 Flow,Fuel System 1  Injector Flow,Fuel System 2  Service Flow,Fuel System 1  Service Flow,Fuel System 1  HP Relief Flow,Fuel System 2  HP Relief Flow
211,6.251,7.405,6.451,6.895,10.522,10.531,6.063,6.897
212,6.251,7.144,6.451,6.895,10.528,10.531,6.063,6.897
213,6.25,7.144,6.451,6.895,10.528,11.109,6.063,6.897
214,6.25,7.142,6.452,6.897,11.111,11.109,6.059,6.897
215,6.25,7.142,6.452,6.897,11.111,10.524,6.059,6.896
216,6.251,7.142,6.452,6.897,9.998,10.524,6.059,6.896
217,6.251,7.412,6.666,6.895,9.998,11.118,6.059,6.896
218,6.251,7.412,6.666,6.895,10.528,11.118,6.062,6.668
219,6.45,7.412,6.666,6.896,10.528,10.528,6.062,6.668
220,6.45,7.142,6.663,6.896,11.101,10.528,6.062,6.668
221,6.45,7.142,6.663,6.896,11.101,11.111,6.06,6.892
222,6.452,7.142,6.663,6.9,10.533,11.111,6.06,6.892
223,6.452,7.408,6.455,6.9,10.533,10.526,6.06,6.892
224,6.452,7.408,6.455,6.9,10.533,11.111,6.053,6.671
225,6.25,7.142,6.455,6.894,10.533,11.111,6.053,6.671
226,6.25,7.142,6.668,6.894,10.524,10.522,6.053,6.671
227,6.25,7.142,6.668,6.894,10.524,10.522,6.064,6.665
228,6.248,7.404,6.668,6.896,10.524,11.114,6.064,6.665
229,6.248,7.404,6.668,6.896,10.533,11.114,6.064,6.665
230,6.248,7.404,6.448,6.896,10.533,11.111,6.064,6.668
231,6.248,7.144,6.448,7.148,10.522,11.111,6.062,6.668
232,6.252,7.144,6.448,7.148,10.522,10.526,6.062,6.668
233,6.252,7.144,6.454,7.148,10.522,10.526,6.062,6.897
234,6.252,7.143,6.454,7.144,10.522,11.104,5.717,6.897
235,6.452,7.143,6.454,7.144,10.535,10.533,5.717,6.897
236,6.452,7.408,6.668,7.144,10.535,10.533,5.717,6.895
237,6.452,7.408,6.668,6.894,10.524,11.111,5.717,6.895
238,6.451,7.408,6.668,6.894,10.524,11.111,5.883,6.895
239,6.451,7.407,6.451,7.142,10.52,10.531,5.883,6.897
240,6.451,7.407,6.451,7.142,10.52,10.531,5.883,6.897
241,6.251,7.407,6.451,7.142,10.533,11.109,5.883,6.897
242,6.251,7.142,6.659,6.897,10.533,11.109,5.883,7.145
243,6.251,7.142,6.659,6.897,10.524,11.109,5.883,7.145
244,6.25,7.142,6.659,6.897,11.087,11.109,5.88,7.145
245,6.25,7.146,6.46,6.896,11.087,11.114,5.88,6.897
