,Utility Input Phase C,Utility Input Phase B,Utility Input Phase A,Gen 2 Phase C,Gen 2 Phase B,Gen 2 Phase A,Gen 3 Phase C,Gen 3 Phase B,Gen 3 Phase A,Gen 1 Phase C,Gen 1 Phase B,Gen 1 Phase A,Mission System 1 DC Amps,Mission System 2  DC Amps,Empty- CRIO1_Slot_1_Channel_14,Empty- CRIO1_Slot_1_Channel_15,Utility Input Phase A ,Utility Input Phase B ,Utility Input Phase C,Gen 3 Phase A ,Gen 3 Phase B ,Gen 3 Phase C,Gen 2 Phase A ,Gen 2 Phase B ,Gen 2 Phase C,MSB1 Phase A,MSB1 Phase B ,MSB1 Phase C ,Utility Input Neutral,Utility Input Ground,Propulsion System 1 VFD  Phase A ,Propulsion System 2 VFD Phase A,Fuel System 2  LP 1,Fuel System 1  LP 1 ,Empty- CRIO1_Slot_3_Channel_2,Empty- CRIO1_Slot_3_Channel_3,Cooling System 1 P 1,Cooling System 2 P 1,Cooling System 1 P 2,Cooling System 2 P 2,Fuel System 2  Injector Pump ,Fuel System 2  Service Pump ,Cooling System 2 Service Pump ,Fuel System 1  Injector Pump ,Fuel System 1  Service Pump ,Cooling System 1 Service Pump ,Cooling System 1 Heater,Cooling System 2 Heater
10,20.490625,20.437499999999996,20.25,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.84875,6.70125,6.749999999999999,7.653750000000001,8.795625000000001,7.160625,-0.06250000000000006,0.30000000000000027,-0.25,-0.25,206.25,206.55,206.7,209.625,205.20000000000002,210.13125000000002,0.9000000000000008,0.9937499999999988,0.9374999999999967,203.60625,204.61875,204.65624999999997,0.06249999999999867,0.03562500000000024,0.45625000000000027,0.5193750000000003,2.6168749999999994,2.5031250000000007,-0.25,-0.2499375,4.83375,4.722499999999999,1.765,1.6131250000000001,4.635,2.4031249999999997,4.885625,4.7275,2.280625,5.048125,2.2781249999999997,2.301875
11,20.49375,20.437499999999996,20.25,0.052499999999999214,0.05812499999999943,0.056250000000000466,7.84875,6.699375000000001,6.748125,7.653750000000001,8.795625000000001,7.160625,-0.06562499999999971,0.3093750000000006,-0.25,-0.25,205.44375000000002,205.875,205.59375,208.63125000000002,205.275,210.26250000000002,0.6000000000000005,0.39374999999999827,0.46875000000000666,203.11875,205.10625,204.39374999999998,0.06249999999999867,0.03562500000000024,0.45625000000000027,0.5199999999999999,2.6081250000000002,2.6893750000000005,-0.25,-0.25,4.835000000000001,4.7281249999999995,1.7631249999999998,1.6225,4.6375,2.405,4.883125000000001,4.7231250000000005,2.280625,5.043125000000001,2.2781249999999997,2.3025
12,20.49375,20.437499999999996,20.253125,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.84875,6.70125,6.749999999999999,7.653750000000001,8.795625000000001,7.160625,-0.06874999999999937,0.30000000000000027,-0.25,-0.25,204.825,205.40625,206.41875000000002,209.08124999999998,204.91875000000002,209.60625000000002,0.6374999999999964,0.39374999999999827,0.33749999999999614,203.26874999999998,204.78750000000002,204.65624999999997,0.06249999999999867,0.03500000000000003,0.45562500000000006,0.5193750000000003,2.62,2.6037500000000002,-0.25,-0.25,4.85125,4.76375,1.750625,1.63,4.6362499999999995,2.4031249999999997,4.885000000000001,4.721875,2.28,5.045625,2.27625,2.301875
13,20.49375,20.437499999999996,20.228125000000002,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.84875,6.699375000000001,6.749999999999999,7.653750000000001,8.795625000000001,7.160625,-0.0593750000000004,0.2968749999999992,-0.25,-0.25,205.38750000000002,205.78125,205.57500000000002,208.8375,204.65624999999997,209.41875000000002,-0.03749999999999587,-0.30000000000000027,-0.5624999999999963,201.31875,203.00625,203.08124999999998,0.06249999999999867,0.03562500000000024,0.45562500000000006,0.5181249999999998,2.51625,2.73625,-0.25,-0.25,4.84,4.748125,1.7593750000000004,1.6249999999999998,4.631875,2.4043750000000004,4.885000000000001,4.7250000000000005,2.280625,5.048125,2.276875,2.3025
14,20.487499999999997,20.437499999999996,20.224999999999998,0.052499999999999214,0.05812499999999943,0.056250000000000466,7.84875,6.70125,6.748125,7.653750000000001,8.795625000000001,7.160625,-0.06562499999999971,0.3031250000000013,-0.25,-0.25,203.53125,203.86874999999998,204.15,207.75,203.75625000000002,208.49999999999997,-0.6000000000000005,-0.7124999999999965,-0.5437499999999984,201.8625,203.98125,203.28750000000002,0.06875000000000075,0.03562500000000024,0.45499999999999985,0.5181249999999998,2.57625,2.3031249999999996,-0.25,-0.25,4.827500000000001,4.741875,1.7531249999999998,1.6349999999999998,4.62625,2.4043750000000004,4.883125000000001,4.724374999999999,2.28,5.04625,2.27625,2.3025
15,20.490625,20.437499999999996,20.224999999999998,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.84875,6.70125,6.749999999999999,7.653750000000001,8.795625000000001,7.160625,-0.07187500000000041,0.3031250000000013,-0.25,-0.25,204.825,205.8,206.1375,209.3625,205.3125,210.46875,0.9374999999999967,0.9374999999999967,1.012500000000005,204.28125,205.61249999999998,205.76250000000002,0.06249999999999867,0.03562500000000024,0.45562500000000006,0.516875,2.7406249999999996,2.7681250000000004,-0.25,-0.25,4.8618749999999995,4.750625,1.7599999999999998,1.635625,4.6274999999999995,2.4025000000000003,4.886875000000001,4.72375,2.279375,5.05,2.27625,2.3012500000000005
16,20.490625,20.434375,20.224999999999998,0.052499999999999214,0.06000000000000005,0.056250000000000466,7.84875,6.699375000000001,6.755624999999999,7.653750000000001,8.79375,7.160625,-0.06250000000000006,0.30000000000000027,-0.25,-0.25,206.28750000000002,206.64375,206.90625,209.56875,205.65,210.4125,0.9000000000000008,0.9937499999999988,0.9000000000000008,203.04375000000002,205.51875,205.0875,0.06249999999999867,0.03500000000000003,0.45562500000000006,0.516875,2.315,2.91875,-0.25,-0.25,4.864375,4.715625,1.7743750000000003,1.6368749999999999,4.631875,2.40375,4.8862499999999995,4.72375,2.28125,5.0512500000000005,2.276875,2.3025
17,20.49375,20.459375,20.224999999999998,0.052499999999999214,0.05812499999999943,0.056250000000000466,7.84875,6.70125,6.7631250000000005,7.653750000000001,8.79375,7.160625,-0.0593750000000004,0.3062499999999996,-0.25,-0.25,205.875,205.95,205.66875,209.53125,205.40625,210.18750000000003,0.39374999999999827,0.5062500000000025,0.5625000000000047,203.45625,204.78750000000002,204.0375,0.06249999999999867,0.03500000000000003,0.45562500000000006,0.5175000000000002,3.0000000000000004,2.4793749999999997,-0.25,-0.25,4.835000000000001,4.720625,1.7512499999999998,1.5975000000000001,4.6343749999999995,2.4043750000000004,4.882499999999999,4.725625,2.28,5.05,2.276875,2.3025
18,20.490625,20.465625,20.221875,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.84875,6.70125,6.765,7.653750000000001,8.795625000000001,7.160625,-0.07187500000000041,0.2968749999999992,-0.25,-0.25,204.825,205.6875,206.4375,209.025,204.60000000000002,209.45624999999998,0.7874999999999965,0.5249999999999921,0.3562500000000024,202.9875,204.80625,204.76874999999998,0.06249999999999867,0.03437499999999982,0.45562500000000006,0.51875,2.33625,2.6293750000000005,-0.25,-0.25,4.82875,4.705,1.7556250000000002,1.61875,4.6362499999999995,2.4031249999999997,4.8843749999999995,4.726875000000001,2.280625,5.054375,2.279375,2.3
19,20.490625,20.468750000000004,20.224999999999998,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.850624999999999,6.699375000000001,6.765,7.653750000000001,8.79375,7.1625000000000005,-0.06562499999999971,0.3031250000000013,-0.25,-0.25,204.9375,206.10000000000002,206.10000000000002,209.025,204.73125000000002,209.47500000000002,0.43124999999999414,0.01875000000000626,-0.3187499999999982,201.52499999999998,203.175,203.00625,0.06249999999999867,0.03437499999999982,0.45625000000000027,0.5193750000000003,2.8093749999999993,2.6112500000000005,-0.2499375,-0.25,4.82,4.76375,1.756875,1.6125,4.6362499999999995,2.4043750000000004,4.885625,4.72375,2.281875,5.05375,2.27875,2.3025
