,Energy Storage  DC Current ,Cooling System 1 Heater Input Temperature ,Propulsion System 1 Speed,Propulsion System 2 Speed ,Energy Storage Battery Temperature,Fuel System 1 Injection command ,Fuel System 2  Injection command ,Energy Storage Battery Bank Voltage,Cooling System 2  Heater Output Temperature,Cooling System 2 Heater Input Temperature ,Cooling System 1 Heater Output Temperature,Cooling System  Ocean Tank Temperature,Cooling System  Used H20 Tank,Empty- CRIO1_Slot_5_Channel_21,Empty- CRIO1_Slot_5_Channel_22,Empty- CRIO1_Slot_5_Channel_23,Fuel System 1 High Pressure Rail,Fuel System 2  High Pressure Rail,Propulsion System 1 DC Load Current ,Mission System 1  Voltage DC,Propulsion System 2 Voltage DC,Propulsion System 2 DC load Current ,Propulsion System 1 Voltage DC ,Mission System 2  Voltage DC
20,-0.48,34.43027777777777,19.77,20.262,45.20461538461538,0.033,-0.044,1.1125000000000016,33.759300699300695,33.15669064748201,33.7654794520548,29.601184668989546,31.474027777777778,0.001,0.001,0.0,157.54999999999998,157.75,-0.2,104.2,3.312,-0.01,79.534,102.2
21,-0.63,33.96444444444444,20.016,20.142000000000003,45.20821428571428,0.046,-0.004,1.109433962264152,33.807412587412585,32.07395683453237,33.03506849315069,29.63114982578397,31.503888888888888,0.001,0.002,0.001,159.10000000000002,155.35000000000002,-0.14,104.89999999999999,5.428,0.18,9.568,103.89999999999999
22,-0.44999999999999996,34.3048611111111,19.968,19.944,45.193818681318675,0.025,-0.022,1.1084905660377364,32.364055944055934,33.19381294964028,34.04821917808219,29.559233449477354,31.563611111111108,0.001,0.003,0.001,161.50000000000003,155.05,-0.1,104.95000000000002,5.497,0.01,-3.1740000000000004,102.60000000000001
23,-0.51,33.29555555555555,19.812,19.752,45.202815934065924,0.059,0.005,1.108018867924529,33.891608391608386,32.82258992805755,32.169178082191785,29.601184668989546,31.874166666666667,0.001,0.0,0.001,162.9,154.9,-0.16,104.45,-3.2659999999999996,-0.03,-0.851,104.0
24,-0.32999999999999996,33.16416666666666,20.472,19.433999999999997,45.20821428571428,0.057,0.029,1.099528301886794,33.26013986013985,33.39179856115108,34.11301369863014,29.625156794425084,32.047361111111115,0.001,0.0,0.001,162.6,154.1,-0.12,104.75000000000001,7.957999999999999,0.10999999999999999,8.602,102.8
25,-0.36,32.97902777777777,20.694,19.896,45.19021978021977,0.023,-0.001,1.1035377358490566,34.04195804195803,33.79395683453237,34.407534246575345,29.948780487804875,32.37583333333333,0.0,0.0,0.0,165.09999999999997,148.70000000000002,-0.10999999999999999,105.0,6.141,0.08,8.326,103.2
26,-0.72,33.01486111111111,20.322,20.201999999999998,45.19561813186812,0.029,0.027,1.1049528301886795,34.34265734265733,33.7073381294964,34.49000000000001,30.42822299651568,32.31611111111111,0.001,0.0,0.001,165.0,150.5,-0.10999999999999999,104.55000000000001,-0.552,0.04,7.590000000000001,103.85
27,-0.7799999999999999,33.03277777777777,20.094,19.746,45.202815934065924,-0.089,0.039,1.1070754716981135,34.36671328671328,33.620719424460425,34.46643835616439,30.296376306620207,32.28625,0.001,0.0,0.001,161.35000000000002,147.6,-0.16,104.05,2.093,-0.81,7.268,102.69999999999999
28,-0.48,32.98499999999999,20.16,19.392000000000003,45.20461538461538,0.012,0.011,1.107311320754718,34.28853146853146,33.54028776978417,34.45465753424658,30.392264808362366,32.51916666666666,0.001,0.021,0.0,163.39999999999998,146.25,-0.17,105.05,1.1729999999999998,-0.51,6.118,102.69999999999999
29,-0.44999999999999996,33.140277777777776,19.446,19.998,45.20461538461538,0.058,0.014,1.1035377358490566,34.222377622377614,33.466043165467624,34.47821917808219,30.602020905923343,32.90138888888889,0.001,-0.002,0.0,161.64999999999998,148.75,-0.12,104.35000000000001,10.672,0.10999999999999999,4.393,102.95
30,-0.38999999999999996,32.55499999999999,19.914,19.607999999999997,45.201016483516476,0.099,0.055,1.115094339622643,34.02391608391608,34.75913669064748,34.825753424657535,30.66794425087108,33.18805555555556,0.001,0.001,0.001,161.7,149.65,-0.24,104.80000000000001,9.039,0.06,7.176,102.3
31,-0.24,32.662499999999994,19.662,19.428,45.18302197802197,0.021,-0.011,1.1000000000000014,35.54545454545453,33.76302158273381,34.92589041095891,30.895679442508712,33.080555555555556,0.001,0.0,0.0,161.0,151.45,-0.15,104.95000000000002,4.117,0.09,6.164000000000001,103.3
32,-0.42,32.91930555555555,19.974,20.028,45.201016483516476,0.071,0.064,1.117216981132076,34.50503496503496,34.499280575539565,35.214520547945206,30.937630662020904,32.88944444444444,0.001,-0.012,0.001,160.4,152.55,-0.09,104.05,2.76,0.7000000000000001,-0.207,102.95
33,-0.57,33.38513888888888,20.088,19.788,45.193818681318675,0.026,-0.042,1.0948113207547179,35.03426573426572,33.199999999999996,35.18506849315069,30.637979094076655,32.48930555555555,0.0,0.002,0.001,160.04999999999998,152.5,-0.14,103.4,14.03,0.01,216.131,101.95
34,-0.32999999999999996,33.42097222222222,19.950000000000003,19.817999999999998,45.19021978021977,0.052,0.014,1.105896226415095,33.78937062937062,33.026762589928055,34.236712328767126,30.596027874564456,32.190694444444446,0.001,0.001,0.001,161.15,158.2,-0.15,103.8,4.0249999999999995,0.09,3.381,102.75000000000001
35,-0.18,33.49263888888888,20.298000000000002,19.578,45.18302197802197,0.073,0.145,1.10306603773585,33.26013986013985,32.85971223021583,34.08945205479452,30.452195121951213,32.09513888888889,0.0,0.0,0.001,160.8,157.45,-0.25,104.95000000000002,4.278,0.08,1.6329999999999998,102.0
36,-0.48,33.43291666666666,20.112,19.919999999999998,45.20641483516483,-0.017,0.033,1.1049528301886795,33.368391608391605,33.03913669064748,34.07767123287672,30.398257839721254,32.38777777777777,0.001,-0.001,-0.001,161.0,152.8,-0.19,103.75000000000001,8.97,0.1,138.943,103.15
37,-0.75,33.42097222222222,20.334,20.166,45.20461538461538,0.0,0.015,1.1066037735849061,33.41650349650349,33.057697841726615,34.07178082191781,30.008710801393725,31.647222222222222,0.0,0.002,0.001,161.75000000000003,158.2,-0.08,104.89999999999999,6.049,0.06,5.888,102.85
38,-0.6,33.34930555555555,20.052,19.578,45.202815934065924,0.058,0.015,1.108018867924529,33.452587412587405,33.03913669064748,33.98342465753425,29.88285714285714,31.64125,0.001,0.001,0.0,163.05,156.5,-0.18,103.2,3.3579999999999997,-0.09,4.508,101.85
39,-0.26999999999999996,34.633333333333326,20.238,20.477999999999998,45.19921703296703,0.034,0.018,1.1068396226415107,33.65104895104895,33.32374100719424,34.030547945205484,29.77498257839721,31.46208333333333,0.001,0.002,0.001,163.09999999999997,150.99999999999997,-0.16,104.89999999999999,4.899,-0.21999999999999997,5.1290000000000004,103.1
40,-0.72,33.54041666666666,19.488,20.357999999999997,45.211813186813174,0.07,0.063,1.0997641509433969,33.76531468531468,32.40187050359712,32.16328767123288,29.337491289198603,31.444166666666668,0.001,0.002,0.001,165.15,153.65000000000003,-0.14,103.8,3.726,0.16,4.83,102.2
41,-0.36,35.28430555555555,19.866,20.004,45.19021978021977,0.043,0.006,1.11367924528302,32.899300699300696,33.19381294964028,32.25753424657535,29.499303135888496,31.77861111111111,0.001,0.001,0.001,159.85,151.39999999999998,-0.12,103.89999999999999,5.5889999999999995,0.19,8.049999999999999,102.49999999999999
42,-0.24,33.24777777777777,20.262,19.926000000000002,45.193818681318675,0.044,-0.029,1.111556603773586,33.09174825174825,32.507050359712224,32.22808219178083,29.894843205574908,32.07125,0.0,0.001,0.001,165.7,149.2,-0.18,104.5,8.832,0.75,5.681,102.0
43,-0.42,33.08055555555555,19.962,19.998,45.20641483516483,0.056,0.008,1.0992924528301895,33.35636363636363,33.39798561151079,33.78315068493151,29.948780487804875,32.148888888888884,0.001,0.0,0.001,166.35,145.75,-0.18,103.45,5.198,0.13,4.784,102.95
44,-0.48,33.01486111111111,20.13,20.07,45.20461538461538,0.028,0.018,1.115801886792454,34.02993006993006,33.71971223021582,34.41342465753425,30.290383275261327,32.280277777777776,0.0,0.005,0.001,165.79999999999998,150.74999999999997,-0.19,104.1,6.693,0.01,6.577999999999999,103.49999999999999
